WKT,OBJECTID,NAME,RT,DIR,FORWARD,mile_numbe,LOCATION,TOWNSHIP,COUNTY,MDOT_TSC,REGION,GARAGE,DATE_,POST_ID,MARKER_ID,DUPE,PR,MP
"MULTIPOINT (-86.736791434306042 41.769932417280032)",11,East I-94 - Mile 1,I-94,E,Forward,       1.000000000000000,WILSON RD,NEW BUFFALO TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2305,2764,0,1360804,       1.004000000000000
"MULTIPOINT (-86.736918256650895 41.770181970211986)",12,West I-94 - Mile 1,I-94,W,Reverse,       1.000000000000000,WILSON RD,NEW BUFFALO TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2509,2968,0,1360802,       1.026000000000000
"MULTIPOINT (-86.323970808176 41.773451327827836)",13,North US-31 - Mile 1,US-31,N,Forward,       1.000000000000000,N OF BERTRAND RD,BERTRAND TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2542,3001,0,1773603,       0.994000000000000
"MULTIPOINT (-86.324347701204132 41.773645393984282)",14,South US-31 - Mile 1,US-31,S,Reverse,       1.000000000000000,N OF BERTRAND RD,BERTRAND TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2514,2973,0,1773605,       1.009000000000000
"MULTIPOINT (-84.988512124959755 41.773676623041794)",15,South I-69 - Mile 1,I-69,S,Reverse,       1.000000000000000,N OF STOKES RD,KINDERHOOK TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2529,2988,0,924504,       0.995000000000000
"MULTIPOINT (-84.988050751920923 41.773762938838736)",16,North I-69 - Mile 1,I-69,N,Forward,       1.000000000000000,N OF STOKES RD,KINDERHOOK TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2818,3277,0,924307,       1.001000000000000
"MULTIPOINT (-83.478016913721106 41.774284606511529)",17,South I-75 - Mile 3,I-75,S,Reverse,       3.000000000000000,,ERIE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4214,4673,0,1226909,       2.992000000000000
"MULTIPOINT (-83.477618498059428 41.774393029418228)",18,North I-75 - Mile 3,I-75,N,Forward,       3.000000000000000,,ERIE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4219,4678,0,1226910,       3.008000000000000
"MULTIPOINT (-86.723143749928738 41.780237321014951)",19,East I-94 - Mile 2,I-94,E,Forward,       2.000000000000000,W OF WEIGH STATION,NEW BUFFALO TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2304,2763,0,1360804,       2.006000000000000
"MULTIPOINT (-86.723416439750196 41.780432458735433)",20,West I-94 - Mile 2,I-94,W,Reverse,       2.000000000000000,W OF WEIGH STATION,NEW BUFFALO TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2394,2853,0,1360802,       2.020000000000000
"MULTIPOINT (-83.696918245642664 41.783406962619011)",21,South US-23 - Mile 4,US-23,S,Reverse,       4.000000000000000,South US-23 - Mile 4,WHITEFORD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3176,3635,0,1223504,       3.981000000000000
"MULTIPOINT (-83.695665759007355 41.783599095529027)",22,North US-23 - Mile 4,US-23,N,Forward,       4.000000000000000,North US-23 - Mile 4,WHITEFORD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3183,3642,0,1223505,       3.988000000000000
"MULTIPOINT (-86.317446070449662 41.786475179690491)",23,South US-31 - Mile 2,US-31,S,Reverse,       2.000000000000000,N OF NILES WELCOME CENTER,BERTRAND TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2400,2859,0,1773605,       1.986000000000000
"MULTIPOINT (-86.316612976784555 41.786578925873066)",24,North US-31 - Mile 2,US-31,N,Forward,       2.000000000000000,N OF NILES WELCOME CENTER,BERTRAND TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2427,2886,0,1773603,       1.999000000000000
"MULTIPOINT (-83.468141760096771 41.786909133964471)",25,South I-75 - Mile 4,I-75,S,Reverse,       4.000000000000000,,ERIE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4213,4672,0,1226909,       4.001000000000000
"MULTIPOINT (-84.992680059246382 41.787776394167594)",26,South I-69 - Mile 2,I-69,S,Reverse,       2.000000000000000,S OF EXIT 3,KINDERHOOK TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2445,2904,0,924504,       1.991000000000000
"MULTIPOINT (-84.992250489972861 41.78786977180274)",27,North I-69 - Mile 2,I-69,N,Forward,       2.000000000000000,S OF EXIT 3,KINDERHOOK TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2354,2813,0,924307,       1.998000000000000
"MULTIPOINT (-86.713102403070039 41.791515193881558)",28,East I-94 - Mile 3,I-94,E,Forward,       3.000000000000000,E OF MAUDIN RD,NEW BUFFALO TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2303,2762,0,1360804,       2.943000000000000
"MULTIPOINT (-86.713709083819779 41.791953733403155)",29,West I-94 - Mile 3,I-94,W,Reverse,       3.000000000000000,E OF MAUDIN RD,NEW BUFFALO TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2790,3249,0,1360802,       2.962000000000000
"MULTIPOINT (-83.689259411817901 41.796970913107018)",30,North US-23 - Mile 5,US-23,N,Forward,       5.000000000000000,North US-23 - Mile 5,WHITEFORD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3184,3643,0,1223505,       4.994000000000000
"MULTIPOINT (-83.689634769860803 41.796937214929798)",31,South US-23 - Mile 5,US-23,S,Reverse,       5.000000000000000,South US-23 - Mile 5,WHITEFORD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3175,3634,0,1223504,       5.035000000000000
"MULTIPOINT (-83.457957256474756 41.799502148070239)",32,North I-75 - Mile 5,I-75,N,Forward,       5.000000000000000,,ERIE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4220,4679,0,1226910,       5.015000000000000
"MULTIPOINT (-83.458322974284968 41.799461896672135)",33,South I-75 - Mile 5,I-75,S,Reverse,       5.000000000000000,,ERIE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4212,4671,0,1226909,       5.005000000000000
"MULTIPOINT (-86.317170177570958 41.801448006971462)",34,South US-31 - Mile 3,US-31,S,Reverse,       3.000000000000000,"S OF US-12, PULASKI HWY",BERTRAND TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2797,3256,0,1773605,       3.019000000000000
"MULTIPOINT (-86.316317625796287 41.801466307081078)",35,North US-31 - Mile 3,US-31,N,Forward,       3.000000000000000,"S OF US-12, PULASKI HWY",BERTRAND TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2824,3283,0,1773603,       3.027000000000000
"MULTIPOINT (-84.996567285230768 41.802082281528826)",36,South I-69 - Mile 3,I-69,S,Reverse,       3.000000000000000,N OF EXIT 3,KINDERHOOK TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2813,3272,0,924504,       2.999000000000000
"MULTIPOINT (-84.996126900042853 41.802134560946214)",37,North I-69 - Mile 3,I-69,N,Forward,       3.000000000000000,N OF EXIT 3,KINDERHOOK TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2353,2812,0,924307,       3.003000000000000
"MULTIPOINT (-86.702118768449068 41.8043683114619)",38,East I-94 - Mile 4,I-94,E,Forward,       4.000000000000000,E OF RR BRIDGE E OF US-12,NEW BUFFALO TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2302,2761,0,1360804,       3.999000000000000
"MULTIPOINT (-86.703427288412897 41.805164960305085)",39,West I-94 - Mile 4,I-94,W,Reverse,       4.000000000000000,E OF RR BRIDGE E OF US-12,NEW BUFFALO TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2511,2970,0,1360802,       4.017000000000000
"MULTIPOINT (-83.684002959250222 41.810262529617091)",40,South US-23 - Mile 6,US-23,S,Reverse,       6.000000000000000,South US-23 - Mile 6,WHITEFORD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3174,3633,0,1223504,       6.035000000000000
"MULTIPOINT (-83.683721756320054 41.810346123501404)",41,North US-23 - Mile 6,US-23,N,Forward,       6.000000000000000,North US-23 - Mile 6,WHITEFORD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3185,3644,0,1223505,       5.996000000000000
"MULTIPOINT (-83.448767301910323 41.811619865421797)",42,South I-75 - Mile 6,I-75,S,Reverse,       6.000000000000000,,ERIE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4211,4670,0,1226909,       5.978000000000000
"MULTIPOINT (-83.448119878719808 41.811997094642194)",43,North I-75 - Mile 6,I-75,N,Forward,       6.000000000000000,,LUNA PIER,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4221,4680,0,1226910,       6.016000000000000
"MULTIPOINT (-86.316544576709688 41.81545198905404)",44,South US-31 - Mile 4,US-31,S,Reverse,       4.000000000000000,"N OF US-12, PULASKI HWY",NILES TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2674,3133,0,1773605,       3.987000000000000
"MULTIPOINT (-86.315690662620867 41.815461560245843)",45,North US-31 - Mile 4,US-31,N,Forward,       4.000000000000000,"N OF US-12, PULASKI HWY",NILES TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2702,3161,0,1773603,       3.994000000000000
"MULTIPOINT (-84.998857605305361 41.816478837594097)",46,North I-69 - Mile 4,I-69,N,Forward,       4.000000000000000,N OF  IYO PAWA RD,OVID TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2352,2811,0,924307,       4.003000000000000
"MULTIPOINT (-84.999331605681022 41.816484328027137)",47,South I-69 - Mile 4,I-69,S,Reverse,       4.000000000000000,N OF  IYO PAWA RD,OVID TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2724,3183,0,924504,       4.004000000000000
"MULTIPOINT (-86.69182798635876 41.816650647305082)",48,East I-94 - Mile 5,I-94,E,Forward,       5.000000000000000,E OF KRUGER RD,NEW BUFFALO TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2301,2760,0,1360804,       5.002000000000000
"MULTIPOINT (-86.692095395014576 41.816864584164072)",49,West I-94 - Mile 5,I-94,W,Reverse,       5.000000000000000,E OF KRUGER RD,NEW BUFFALO TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2397,2856,0,1360802,       5.015000000000000
"MULTIPOINT (-83.435937510739706 41.823286004279772)",50,North I-75 - Mile 7,I-75,N,Forward,       7.000000000000000,,LUNA PIER,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4222,4681,0,1226910,       7.017000000000000
"MULTIPOINT (-83.436334626988966 41.823267907754904)",51,South I-75 - Mile 7,I-75,S,Reverse,       7.000000000000000,,ERIE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4210,4669,0,1226909,       7.007000000000000
"MULTIPOINT (-83.683665439780555 41.824640994160006)",52,South US-23 - Mile 7,US-23,S,Reverse,       7.000000000000000,South US-23 - Mile 7,SUMMERFIELD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3173,3632,0,1223504,       7.033000000000000
"MULTIPOINT (-83.683319144390708 41.824738357860241)",53,North US-23 - Mile 7,US-23,N,Forward,       7.000000000000000,North US-23 - Mile 7,SUMMERFIELD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3186,3645,0,1223505,       6.995000000000000
"MULTIPOINT (-86.677122864443845 41.825899109534596)",54,East I-94 - Mile 6,I-94,E,Forward,       6.000000000000000,W OF EXIT 6 (UNION PIER RD),NEW BUFFALO TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2300,2759,0,1360804,       5.996000000000000
"MULTIPOINT (-86.677316854600434 41.826085906468116)",55,West I-94 - Mile 6,I-94,W,Reverse,       6.000000000000000,W OF EXIT 6 (UNION PIER RD),NEW BUFFALO TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2792,3251,0,1360802,       6.010000000000000
"MULTIPOINT (-86.313100090366461 41.829810164372148)",56,North US-31 - Mile 5,US-31,N,Forward,       5.000000000000000,N OF NILES BUCHANAN RD,NILES TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2402,2861,0,1773603,       4.993000000000000
"MULTIPOINT (-86.313900983682061 41.829893461773608)",57,South US-31 - Mile 5,US-31,S,Reverse,       5.000000000000000,N OF NILES BUCHANAN RD,NILES TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2596,3055,0,1773605,       4.993000000000000
"MULTIPOINT (-84.998394474095136 41.830847296562474)",58,North I-69 - Mile 5,I-69,N,Forward,       5.000000000000000,N OF PEARL BEACH RD,OVID TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2351,2810,0,924307,       4.995000000000000
"MULTIPOINT (-84.998857365843662 41.830854353906659)",59,South I-69 - Mile 5,I-69,S,Reverse,       5.000000000000000,N OF PEARL BEACH RD,OVID TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2611,3070,0,924504,       4.996000000000000
"MULTIPOINT (-86.661520014028639 41.834790431879682)",60,East I-94 - Mile 7,I-94,E,Forward,       7.000000000000000,E OF EXIT 6 (UNION PIER RD),CHIKAMING TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2299,2758,0,1360804,       7.009000000000000
"MULTIPOINT (-86.661687515962043 41.834975110745752)",61,West I-94 - Mile 7,I-94,W,Reverse,       7.000000000000000,E OF EXIT 6 (UNION PIER RD),CHIKAMING TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2672,3131,0,1360802,       7.024000000000000
"MULTIPOINT (-83.674076317648627 41.837181899336642)",62,South US-23 - Mile 8,US-23,S,Reverse,       8.000000000000000,South US-23 - Mile 8,SUMMERFIELD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3172,3631,0,1223504,       8.029000000000000
"MULTIPOINT (-83.673682601828546 41.837279543417552)",63,North US-23 - Mile 8,US-23,N,Forward,       8.000000000000000,North US-23 - Mile 8,SUMMERFIELD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3187,3646,0,1223505,       7.993000000000000
"MULTIPOINT (-86.316647751138021 41.843420331616628)",64,South US-31 - Mile 6,US-31,S,Reverse,       6.000000000000000,N OF JOSEPH RIVER,NILES TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2483,2942,0,1773605,       5.946000000000000
"MULTIPOINT (-86.646086763972164 41.843546208003787)",65,East I-94 - Mile 8,I-94,E,Forward,       8.000000000000000,E OF WARREN WOODS RD,CHIKAMING TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2298,2757,0,1360804,       8.009000000000000
"MULTIPOINT (-86.315878746860633 41.843575532416914)",66,North US-31 - Mile 6,US-31,N,Forward,       6.000000000000000,N OF JOSEPH RIVER,NILES TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2798,3257,0,1773603,       5.963000000000000
"MULTIPOINT (-86.646230288834161 41.843740418620769)",67,West I-94 - Mile 8,I-94,W,Reverse,       8.000000000000000,E OF WARREN WOODS RD,CHIKAMING TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2593,3052,0,1360802,       8.025000000000000
"MULTIPOINT (-84.997398270145794 41.845277910514554)",68,North I-69 - Mile 6,I-69,N,Forward,       6.000000000000000,REST AREA R716 EXIT RAMP RA1A,OVID TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2350,2809,0,924307,       5.993000000000000
"MULTIPOINT (-84.998267243886914 41.845352551465965)",69,South I-69 - Mile 6,I-69,S,Reverse,       6.000000000000000,REST AREA R716 EXIT RAMP RA1A,OVID TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2530,2989,0,924504,       5.997000000000000
"MULTIPOINT (-83.416646541942924 41.848301791177278)",70,North I-75 - Mile 9,I-75,N,Forward,       9.000000000000000,,LASALLE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4223,4682,0,1226910,       9.016999999999999
"MULTIPOINT (-83.664214622565083 41.849703386408372)",71,South US-23 - Mile 9,US-23,S,Reverse,       9.000000000000000,South US-23 - Mile 9,SUMMERFIELD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3171,3630,0,1223504,       9.032000000000000
"MULTIPOINT (-83.663836458929055 41.849770251180537)",72,North US-23 - Mile 9,US-23,N,Forward,       9.000000000000000,North US-23 - Mile 9,SUMMERFIELD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3188,3647,0,1223505,       8.994000000000000
"MULTIPOINT (-86.630526454993728 41.852179335959605)",73,East I-94 - Mile 9,I-94,E,Forward,       9.000000000000000,E OF EAST RD,CHIKAMING TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2297,2756,0,1360804,       9.009000000000000
"MULTIPOINT (-86.630728121493021 41.852359936947977)",74,West I-94 - Mile 9,I-94,W,Reverse,       9.000000000000000,E OF EAST RD,CHIKAMING TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2481,2940,0,1360802,       9.022000000000000
"MULTIPOINT (-86.317349972475583 41.85791564507992)",75,South US-31 - Mile 7,US-31,S,Reverse,       7.000000000000000,N OF WALDON RD,NILES TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2401,2860,0,1773605,       6.950000000000000
"MULTIPOINT (-86.316825726796864 41.858629734274622)",76,North US-31 - Mile 7,US-31,N,Forward,       7.000000000000000,N OF WALDON RD,NILES TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2676,3135,0,1773603,       7.007000000000000
"MULTIPOINT (-84.991295152999811 41.858939854255148)",77,North I-69 - Mile 7,I-69,N,Forward,       7.000000000000000,OTIS RD,OVID TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2349,2808,0,924307,       6.990000000000000
"MULTIPOINT (-84.992728555081626 41.859190387579204)",78,South I-69 - Mile 7,I-69,S,Reverse,       7.000000000000000,OTIS RD,OVID TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2419,2878,0,924504,       6.999000000000000
"MULTIPOINT (-86.615037562330741 41.860812580221484)",79,East I-94 - Mile 10,I-94,E,Forward,      10.000000000000000,W OF THREE OAKS RD,CHIKAMING TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2296,2755,0,1360804,      10.006000000000000
"MULTIPOINT (-86.615159978722318 41.861030412351781)",80,West I-94 - Mile 10,I-94,W,Reverse,      10.000000000000000,W OF THREE OAKS RD,CHIKAMING TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2398,2857,0,1360802,      10.023999999999999
"MULTIPOINT (-83.407785234222729 41.861227114365406)",81,North I-75 - Mile 10,I-75,N,Forward,      10.000000000000000,,MONROE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4224,4683,0,1226910,      10.019000000000000
"MULTIPOINT (-83.408143752651455 41.861184003283256)",82,South I-75 - Mile 10,I-75,S,Reverse,      10.000000000000000,,MONROE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4209,4668,0,1226909,      10.007999999999999
"MULTIPOINT (-83.661172996003458 41.863649627280644)",83,South US-23 - Mile 10,US-23,S,Reverse,      10.000000000000000,South US-23 - Mile 10,SUMMERFIELD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3170,3629,0,1223504,      10.025000000000000
"MULTIPOINT (-83.660915970842638 41.863807729742028)",84,North US-23 - Mile 10,US-23,N,Forward,      10.000000000000000,North US-23 - Mile 10,SUMMERFIELD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3189,3648,0,1223505,       9.991000000000000
"MULTIPOINT (-86.601913787945776 41.871007155142166)",85,East I-94 - Mile 11,I-94,E,Forward,      11.000000000000000,HARERT RD,CHIKAMING TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2295,2754,0,1360804,      11.006000000000000
"MULTIPOINT (-86.602168092485655 41.871275222022007)",86,West I-94 - Mile 11,I-94,W,Reverse,      11.000000000000000,HARERT RD,CHIKAMING TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2760,3219,0,1360802,      11.023000000000000
"MULTIPOINT (-86.316716501953536 41.873133002915893)",87,North US-31 - Mile 8,US-31,N,Forward,       8.000000000000000,N OF WINN RD,NILES TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2597,3056,0,1773603,       8.007999999999999
"MULTIPOINT (-86.317246773656606 41.873133958135135)",88,South US-31 - Mile 8,US-31,S,Reverse,       8.000000000000000,N OF WINN RD,NILES TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT NILES,09/23/09,2762,3221,0,1773605,       8.000000000000000
"MULTIPOINT (-84.990619914080114 41.873517111318087)",89,North I-69 - Mile 8,I-69,N,Forward,       8.000000000000000,WEIGH STATION W703 EXIT RAMP WSIA,OVID TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2348,2807,0,924307,       7.998000000000000
"MULTIPOINT (-84.991344347052049 41.873520547513827)",90,South I-69 - Mile 8,I-69,S,Reverse,       8.000000000000000,WEIGH STATION W703 EXIT RAMP WSIA,OVID TWP,BRANCH,MARSHALL,SOUTHWEST,CRC BRANCH,08/05/09,2814,3273,0,924504,       7.993000000000000
"MULTIPOINT (-83.398781503393678 41.873588989108988)",91,North I-75 - Mile 11,I-75,N,Forward,      11.000000000000000,,MONROE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4225,4684,0,1226910,      10.991000000000000
"MULTIPOINT (-83.399137529654141 41.873563641798974)",92,South I-75 - Mile 11,I-75,S,Reverse,      11.000000000000000,,MONROE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4208,4667,0,1226909,      10.981000000000000
"MULTIPOINT (-83.661412553906459 41.87818634926775)",93,South US-23 - Mile 11,US-23,S,Reverse,      11.000000000000000,South US-23 - Mile 11,SUMMERFIELD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3169,3628,0,1223504,      11.028000000000000
"MULTIPOINT (-83.661134269697413 41.878311277233635)",94,North US-23 - Mile 11,US-23,N,Forward,      11.000000000000000,North US-23 - Mile 11,SUMMERFIELD TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,02/14/11,3190,3649,0,1223505,      10.992000000000001
"MULTIPOINT (-86.600964848791676 41.885305233410826)",95,East I-94 - Mile 12,I-94,E,Forward,      12.000000000000000,"EXIT 12, SAWYER RD (SAWYER)",CHIKAMING TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2294,2753,0,1360804,      11.996000000000000
"MULTIPOINT (-86.601313417240689 41.885345315501809)",96,West I-94 - Mile 12,I-94,W,Reverse,      12.000000000000000,"EXIT 12, SAWYER RD (SAWYER)",CHIKAMING TWP,BERRIEN,COLOMA,SOUTHWEST,MDOT SAWYER,10/21/09,2673,3132,0,1360802,      11.997000000000000
"MULTIPOINT (-83.386966921978456 41.885661674397745)",97,North I-75 - Mile 12,I-75,N,Forward,      12.000000000000000,,MONROE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4226,4685,0,1226910,      12.023000000000000
"MULTIPOINT (-83.387310681918393 41.885652349417406)",98,South I-75 - Mile 12,I-75,S,Reverse,      12.000000000000000,,MONROE TWP,MONROE,BRIGHTON,UNIVERSITY,CRC MONROE,07/12/11,4207,4666,0,1226909,      12.013999999999999
